Date,Open,High,Low,Close,Adj Close,Volume
2009-12-14,27.910000,28.215714,27.285715,27.918571,18.827061,566461000
2009-12-21,28.007143,29.907143,27.952858,29.862858,20.138199,451959200
2009-12-28,30.245714,30.564285,29.758572,30.104286,20.301006,463566600
2010-01-04,30.490000,30.798571,29.864286,30.282858,20.421427,643134100
2010-01-11,30.400000,30.428572,29.157143,29.418571,19.838593,672385700
2010-01-18,29.761429,30.792856,28.165714,28.250000,19.050560,708020600
2010-01-25,28.930000,30.530001,27.178572,27.437143,18.502411,1768708200
2010-02-01,27.481428,28.600000,27.264286,27.922857,18.829954,917876400
2010-02-08,27.955715,28.805714,27.714285,28.625713,19.303925,671833400
2010-02-15,28.848572,29.187143,28.694286,28.809999,19.428200,454607300
2010-02-22,28.905714,29.309999,27.958570,29.231428,19.712393,649702900
2010-03-01,29.392857,31.385714,29.350000,31.278572,21.092897,688588600
2010-03-08,31.430000,32.532856,31.127142,32.371429,21.829872,692097700
2010-03-15,32.197144,32.349998,31.464285,31.750000,21.410805,573230700
2010-03-22,31.495714,33.135715,31.450001,32.985714,22.244123,709947700
2010-03-29,33.285713,34.104286,33.088570,33.709999,22.732544,525464800
2010-04-05,33.568573,34.560001,33.538570,34.541428,23.293228,666799700
2010-04-12,34.599998,35.877144,34.444286,35.342857,23.833675,542661000
2010-04-19,35.290001,38.882858,34.538570,38.689999,26.090841,969505600
2010-04-26,38.840000,38.922855,36.630001,37.298573,25.152523,762029800
2010-05-03,37.691429,38.268570,28.464285,33.694286,22.721949,1255786000
2010-05-10,35.750000,37.857143,35.504284,36.259998,24.452152,961667000
2010-05-17,36.385715,36.935715,33.049999,34.617142,23.344284,1269511600
2010-05-24,35.325714,37.057144,33.880001,36.697144,24.746948,1033699100
2010-05-31,37.098572,37.991428,36.375713,36.565716,24.658314,743358000
2010-06-07,36.898571,37.021427,34.599998,36.215714,24.422291,1016114400
2010-06-14,36.565716,39.285713,36.287144,39.152859,26.402973,907297300
2010-06-21,39.669998,39.858570,37.972858,38.099998,25.692968,881607300
2010-06-28,38.132858,38.535713,34.742859,35.277142,23.789358,1043620900
2010-07-05,35.857143,37.557144,35.165714,37.088570,25.010910,610314600
2010-07-12,36.932858,37.407143,35.204285,35.700001,24.074514,1107643600
2010-07-19,35.697144,37.878571,34.228573,37.134285,25.041733,1115951900
2010-07-26,37.142857,37.998573,36.414288,36.750000,24.782591,654331300
2010-08-02,37.205715,37.754284,36.804287,37.155716,25.056183,500019800
2010-08-09,37.354286,37.450001,35.160000,35.585712,23.997446,566223000
2010-08-16,35.368572,36.381428,35.231430,35.662857,24.049469,472925600
2010-08-23,35.970001,36.000000,33.651428,34.517143,23.276846,657092800
2010-08-30,34.394287,36.968571,34.335712,36.967144,24.929018,609332500
2010-09-06,36.662857,38.074287,36.607143,37.630001,25.376030,423806600
2010-09-13,37.974285,39.708572,37.931427,39.338570,26.528202,628219900
2010-09-20,39.439999,41.932858,39.407143,41.759998,28.161108,836911600
2010-09-27,41.997143,42.104286,39.285713,40.360001,27.217014,777263900
2010-10-04,40.228573,42.071430,39.681427,42.009998,28.329699,668735200
2010-10-11,42.105713,45.000000,41.784286,44.962856,30.320980,743470000
2010-10-18,45.495716,45.571430,42.860001,43.924286,29.620605,992914300
2010-10-25,44.155716,44.514286,42.981430,42.997143,28.995392,541489200
2010-11-01,43.174286,45.740002,43.171429,45.304287,30.551226,592477200
2010-11-08,45.314285,45.900002,43.375713,44.004284,29.674564,551665100
2010-11-15,44.065716,44.362858,42.537144,43.818573,29.549324,605010000
2010-11-22,43.811428,45.385715,43.695713,45.000000,30.346024,390958400
2010-11-29,45.071430,45.571430,44.410000,45.348572,30.581085,553581000
2010-12-06,45.520000,46.284286,45.301430,45.794285,30.881659,429633400
2010-12-13,46.338570,46.437141,45.571430,45.801430,30.886467,479273900
2010-12-20,45.942856,46.531429,45.461430,46.228573,31.174532,282760800
2010-12-27,46.121429,46.665714,45.901428,46.080002,31.074341,234970400
2011-01-03,46.520000,48.049999,46.405716,48.017143,32.380657,405524700
2011-01-10,48.404285,49.782856,48.167141,49.782856,33.571381,450219700
2011-01-17,47.074287,49.799999,46.571430,46.674286,31.475096,1133950300
2011-01-24,46.695713,49.371429,46.674286,48.014286,32.378723,626377500
2011-01-31,47.971428,49.528572,47.757141,49.500000,33.380630,444618300
2011-02-07,49.698570,51.428570,49.662857,50.978573,34.377708,661232600
2011-02-14,50.970001,52.128571,49.931427,50.080002,33.771755,605597300
2011-02-21,48.878571,49.775715,48.245716,49.737144,33.540550,606082400
2011-02-28,50.177143,51.470001,49.668571,51.428570,34.681168,603964200
2011-03-07,51.628571,51.667141,49.271427,50.284286,33.909519,583591400
2011-03-14,50.454285,50.925713,46.608570,47.238571,31.855621,932921500
2011-03-21,47.998573,50.294285,47.894287,50.220001,33.866169,490485800
2011-03-28,50.450001,50.617142,49.042858,49.222858,33.193729,421085700
2011-04-04,49.187141,49.228573,47.707142,47.865715,32.278534,524084400
2011-04-11,47.722858,48.020000,46.685715,46.779999,31.546370,481553100
2011-04-18,46.585712,50.732857,45.737144,50.099998,33.785248,620938500
2011-04-25,50.048573,50.712856,49.360001,50.018570,33.730331,582215900
2011-05-02,49.962856,50.261429,49.357143,49.522858,33.396049,440353900
2011-05-09,49.694286,50.000000,48.621429,48.642857,32.802612,367738700
2011-05-16,48.457142,48.915714,47.247143,47.888573,32.293953,459006100
2011-05-23,47.138573,48.365715,47.060001,48.201427,32.504925,356477800
2011-05-30,48.728573,50.304287,48.714287,49.062859,33.085842,406117600
2011-06-06,49.385715,49.578571,46.501427,46.557144,31.396091,508623500
2011-06-13,46.742859,47.607143,45.475716,45.751427,30.852758,547212400
2011-06-20,45.337143,47.592857,44.357143,46.621429,31.439453,631044400
2011-06-27,46.798573,49.071430,46.750000,49.037144,33.068497,436231600
2011-07-04,49.000000,51.428570,48.928570,51.387142,34.653240,422244200
2011-07-11,50.905716,52.142857,49.802856,52.131428,35.155148,550230800
2011-07-18,52.204285,56.610001,52.182858,56.185715,37.889191,844100600
2011-07-25,55.764286,57.785713,54.857143,55.782856,37.617512,738082800
2011-08-01,56.825714,57.071430,51.795715,53.374287,35.993282,1015220500
2011-08-08,51.669998,54.234287,50.431427,53.855713,36.317924,1094004800
2011-08-15,54.232857,54.995716,50.857143,50.861427,34.298717,757169700
2011-08-22,52.072857,54.828571,50.727142,54.797142,36.952785,832810300
2011-08-29,55.454285,56.011429,53.118572,53.435715,36.034702,532110600
2011-09-05,52.481430,55.515713,52.354286,53.925713,36.365131,460311600
2011-09-12,53.285713,57.214287,53.128571,57.214287,38.582813,639862300
2011-09-19,56.714287,60.408573,56.457142,57.757141,38.948883,930087200
2011-09-26,57.122856,58.464287,54.454285,54.474285,36.735069,768434800
2011-10-03,54.338570,54.968571,50.605713,52.828571,35.625278,1009321600
2011-10-10,54.155716,60.285713,54.029999,60.285713,40.654030,667510200
2011-10-17,60.248573,60.957142,55.821430,56.124287,37.847755,960555400
2011-10-24,56.597141,58.428570,56.164288,57.849998,39.011513,551594400
2011-10-31,57.488571,58.475716,56.174286,57.177143,38.557766,497064400
2011-11-07,57.130001,58.285713,54.322857,54.945713,37.052975,656985000
2011-11-14,54.788570,55.877144,53.554287,53.562859,36.120449,516191200
2011-11-21,52.914288,53.990002,51.902859,51.938572,35.025089,385008400
2011-11-28,53.192856,56.232857,52.885715,55.671429,37.542370,473610900
2011-12-05,56.212856,56.630001,55.251427,56.231430,37.920010,404726000
2011-12-12,55.954285,56.485714,53.954285,54.431427,36.706173,431140500
2011-12-19,54.638573,57.655716,54.354286,57.618572,38.855450,326862900
2011-12-26,57.585712,58.441429,57.215714,57.857143,39.016331,222344500
2012-01-02,58.485714,60.392857,58.428570,60.342857,40.692574,287951300
2012-01-09,60.785713,61.107143,59.808571,59.972858,40.443066,326478600
2012-01-16,60.599998,61.624287,59.964287,60.042858,40.490280,298850300
2012-01-23,60.381428,64.921425,59.935715,63.897144,43.089432,608927200
2012-01-30,63.672855,65.714287,63.627144,65.668571,44.284008,378616700
2012-02-06,65.482857,71.088570,65.457146,70.488571,47.534412,622260800
2012-02-13,71.361427,75.184288,69.518570,71.731430,48.372528,991022900
2012-02-20,72.411430,74.699997,72.017143,74.629997,50.327206,517999300
2012-02-27,74.472855,78.315712,73.754288,77.882858,52.520782,803740700
2012-03-05,77.917145,78.248573,73.745712,77.881432,52.519821,838315100
2012-03-12,78.425713,85.715714,78.142860,83.652855,56.411804,1125546800
2012-03-19,85.481430,87.092857,84.150002,85.150002,57.421429,854074900
2012-03-26,85.684288,88.778572,85.037140,85.650002,57.758598,799402100
2012-04-02,85.975716,90.665718,85.768570,90.525711,61.046570,661797500
2012-04-09,89.447144,92.000000,86.215714,86.461426,58.305790,914464600
2012-04-16,87.151428,88.607140,81.488571,81.854286,55.198944,1224137600
2012-04-23,81.515717,88.285713,79.285713,86.142860,58.090958,972811700
2012-04-30,85.400002,85.485718,80.738571,80.750000,54.454266,616268800
2012-05-07,80.214287,82.268570,79.818573,80.958572,54.594917,542705100
2012-05-14,80.367142,81.072861,74.597145,75.768570,51.095005,709842700
2012-05-21,76.357140,82.357140,76.292854,80.327141,54.169106,683902800
2012-05-28,81.557144,83.071426,80.074287,80.141426,54.043861,480650100
2012-06-04,80.214287,82.940002,78.357140,82.902855,55.906052,518487200
2012-06-11,83.959999,84.071426,80.957146,82.018570,55.309723,500263400
2012-06-18,81.565712,84.285713,81.481430,83.157143,56.077534,442895600
2012-06-25,82.471428,83.428574,80.801430,83.428574,56.260563,372063300
2012-07-02,83.532860,87.762856,83.371429,86.554283,58.368416,386279600
2012-07-09,86.471428,88.552856,84.668571,86.424286,58.280750,525038500
2012-07-16,86.445717,87.907143,86.164284,86.328575,58.216209,420479500
2012-07-23,84.914284,87.097145,81.428574,83.594284,56.372318,685247500
2012-07-30,84.417145,88.282860,83.974289,87.957146,59.314445,475762700
2012-08-06,88.184288,89.285713,87.894287,88.814285,59.892452,313459300
2012-08-13,89.055717,92.598572,89.035713,92.587143,64.362854,393409800
2012-08-20,92.858574,96.411430,92.587143,94.745712,65.863396,712224100
2012-08-27,97.141426,97.267143,93.892860,95.034286,66.063988,384563200
2012-09-03,95.108574,97.497147,94.928574,97.205711,67.573486,356282500
2012-09-10,97.207146,99.568573,93.714287,98.754288,68.650002,725762100
2012-09-17,99.907143,100.724289,99.088570,100.012856,69.524887,501641700
2012-09-24,98.122856,99.302856,94.335716,95.300003,66.248718,716065000
2012-10-01,95.879997,96.678574,92.949997,93.227142,64.807739,640150000
2012-10-08,92.411430,92.508568,89.078575,89.958572,62.535557,748260800
2012-10-15,90.335716,93.255714,87.088570,87.120003,60.562302,648005400
2012-10-22,87.488571,90.768570,84.428574,86.285713,59.982334,871790500
2012-10-29,84.982857,86.142860,82.107140,82.400002,57.281151,367668700
2012-11-05,83.360001,84.391426,76.245712,78.151428,54.327713,920940300
2012-11-12,79.164284,79.214287,72.250000,75.382858,54.125744,895681500
2012-11-19,77.244286,81.714287,77.125717,81.642860,58.620495,527975000
2012-11-26,82.271431,84.892860,81.751427,83.611427,60.033943,647698100
2012-12-03,84.807144,84.941429,74.089996,76.178574,54.697056,982559900
2012-12-10,75.000000,78.508568,72.225716,72.827141,52.290710,836203200
2012-12-17,72.704285,76.414284,71.604286,74.190002,53.269257,727654900
2012-12-24,74.335716,74.892860,72.094284,72.798569,52.270191,321897100
2012-12-31,72.932854,79.285713,72.714287,75.285713,54.055988,541827300
2013-01-07,74.571426,75.984283,73.599998,74.328575,53.368748,575530200
2013-01-14,71.811432,72.964287,69.054283,71.428574,51.286526,807096500
2013-01-21,72.080002,73.570000,62.142857,62.840000,45.119831,997983700
2013-01-28,62.547142,66.085716,62.265713,64.802856,46.529179,658162400
2013-02-04,64.844284,68.401428,63.142857,67.854286,48.720139,745477600
2013-02-11,68.071426,69.277145,65.702858,65.737144,49.195362,587192900
2013-02-18,65.871429,66.104286,63.259998,64.401428,48.195755,422480800
2013-02-25,64.835716,65.017143,61.425713,61.495716,46.021229,584098200
2013-03-04,61.114285,62.204285,59.857143,61.674286,46.154873,635348700
